system   I             system.c:242  al_install_system                [   0.00000] Allegro version: 5.1.13 (WIP)
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11089] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11090] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11090] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11091] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11092] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11092] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11093] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.11093] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.11094] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.11094] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.11095] Found a format
d3d      I         d3d_disp.cpp:2380 d3d_create_bitmap                [   0.11096] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.11114] added dtor for object 02A16DA8, func 004177B0
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   0.11757] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   0.11768] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   0.11897] removed dtor for object 02A16DA8
d3d      W         d3d_disp.cpp:2423 _al_d3d_destroy_bitmap           [   0.11900] d3d_destroy_bitmap: Release video texture failed.
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12019] opening miriam.ttf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12053] Font miriam.ttf loaded with pixel size 0 x 20.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12054]     ascent=15.0, descent=-5.0, height=20.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12055] added dtor for object 02B8AA38, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12056] opening Audiowide-Regular.ttf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12074] Font Audiowide-Regular.ttf loaded with pixel size 0 x 40.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12075]     ascent=40.0, descent=-11.0, height=51.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12076] added dtor for object 02B8AB70, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12077] opening Audiowide-500.ttf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12093] Font Audiowide-500.ttf loaded with pixel size 0 x 40.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12093]     ascent=40.0, descent=-11.0, height=51.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12094] added dtor for object 02B8EB00, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12095] opening Audiowide-Regular.ttf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12113] Font Audiowide-Regular.ttf loaded with pixel size 0 x 30.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12114]     ascent=30.0, descent=-9.0, height=38.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12114] added dtor for object 02B8AB10, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12115] opening Audiowide-500.ttf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12130] Font Audiowide-500.ttf loaded with pixel size 0 x 30.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12131]     ascent=30.0, descent=-9.0, height=38.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12132] added dtor for object 02A01E20, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12133] opening Zebulon.otf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12148] Font Zebulon.otf loaded with pixel size 0 x 200.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12149]     ascent=195.0, descent=-49.0, height=244.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12149] added dtor for object 02A2B490, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12150] opening Zebulon.otf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12164] Font Zebulon.otf loaded with pixel size 0 x 131.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12164]     ascent=128.0, descent=-32.0, height=160.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12165] added dtor for object 02A2B520, func 0048E2A0
stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.12166] opening 7seg.ttf rb
font     D                ttf.c:847  al_load_ttf_font_stretch_f       [   0.12182] Font 7seg.ttf loaded with pixel size 0 x 18.
font     D                ttf.c:849  al_load_ttf_font_stretch_f       [   0.12183]     ascent=20.0, descent=-7.0, height=26.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12184] added dtor for object 02A2B640, func 0048E2A0
audio-dsound D           dsound.cpp:320  _dsound_allocate_voice           [   0.12192] Allocating voice
audio-dsound D           dsound.cpp:379  _dsound_allocate_voice           [   0.12194] Allocated voice
